"","Date","Month","Year","Site.Name","COUNTY","lat_mean","lon_mean","PM2.5","Ozone"
"58",2020-01-05,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,6,NA
"59",2020-01-05,1,2020,"Linville Falls","Avery",35.972347,-81.933072,15,NA
"60",2020-01-05,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,14,NA
"61",2020-01-05,1,2020,"Millbrook School","Wake",35.856111,-78.574167,28.75,34.5
"62",2020-01-05,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,16.6666666666667,NA
"63",2020-01-05,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,20,34
"64",2020-01-06,1,2020,"Bryson City","Swain",35.434767,-83.442133,33,NA
"65",2020-01-06,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,13,NA
"66",2020-01-06,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,25,NA
"67",2020-01-06,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,29.3333333333333,NA
"68",2020-01-06,1,2020,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,40
"69",2020-01-06,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,32.25,30.5
"70",2020-01-06,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,15.6666666666667,NA
"71",2020-01-06,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,7,NA
"72",2020-01-06,1,2020,"Linville Falls","Avery",35.972347,-81.933072,4,NA
"73",2020-01-06,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,18,NA
"74",2020-01-06,1,2020,"Millbrook School","Wake",35.856111,-78.574167,27.75,32
"75",2020-01-06,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,15.6666666666667,NA
"76",2020-01-06,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,28.5,33
"77",2020-01-07,1,2020,"Bryson City","Swain",35.434767,-83.442133,45,NA
"78",2020-01-07,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,11,NA
"79",2020-01-07,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,40.5,NA
"80",2020-01-07,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,41,NA
"81",2020-01-07,1,2020,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,37
"82",2020-01-07,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,39,29
"83",2020-01-07,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,26,NA
"84",2020-01-07,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,12.5,NA
"85",2020-01-07,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,30,NA
"86",2020-01-07,1,2020,"Millbrook School","Wake",35.856111,-78.574167,42,31.5
"87",2020-01-07,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,17,NA
"88",2020-01-07,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,25,30
"89",2020-01-08,1,2020,"Bryson City","Swain",35.434767,-83.442133,52,NA
"90",2020-01-08,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,9.5,NA
"91",2020-01-08,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,51.5,NA
"92",2020-01-08,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,37.3333333333333,NA
"93",2020-01-08,1,2020,"Frying Pan Mountain","Haywood",35.379167,-82.7925,3,42
"94",2020-01-08,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,42,24
"95",2020-01-08,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,41.25,NA
"96",2020-01-08,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,30.5,NA
"97",2020-01-08,1,2020,"Linville Falls","Avery",35.972347,-81.933072,22,NA
"98",2020-01-08,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,37.5,NA
"99",2020-01-08,1,2020,"Millbrook School","Wake",35.856111,-78.574167,44.5,30
"100",2020-01-08,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,28.6666666666667,NA
"101",2020-01-08,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,35,38
"102",2020-01-09,1,2020,"Bryson City","Swain",35.434767,-83.442133,45.5,NA
